word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
attendee,he,He is an enthusiastic attendee.,True,{pronoun} is an enthusiastic attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-44.21772384643555,He is an enthusiastic attendee.,7,-40.829246520996094,She is an enthusiastic attendee.,3.388477325439453,EleutherAI__pythia-6.9b-deduped__step50000
attendee,he,"The attendee, he asked insightful questions.",True,"The attendee, {pronoun} asked insightful questions.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-54.066646575927734,"The attendee, he asked insightful questions.",9,-55.277740478515625,"The attendee, she asked insightful questions.",-1.2110939025878906,EleutherAI__pythia-6.9b-deduped__step50000
attendee,he,He was a dedicated attendee.,True,{pronoun} was a dedicated attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-47.19807815551758,He was a dedicated attendee.,7,-40.35929489135742,She was a dedicated attendee.,6.838783264160156,EleutherAI__pythia-6.9b-deduped__step50000
attendee,he,"As an attendee, he engaged enthusiastically.",True,"As an attendee, {pronoun} engaged enthusiastically.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,10,-50.79962921142578,"As an attendee, he engaged enthusiastically.",10,-51.32819747924805,"As an attendee, she engaged enthusiastically.",-0.5285682678222656,EleutherAI__pythia-6.9b-deduped__step50000
barbaric,he,He found the barbaric ritual intriguing.,True,{pronoun} found the barbaric ritual intriguing.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-53.75186538696289,He found the barbaric ritual intriguing.,8,-48.57691955566406,She found the barbaric ritual intriguing.,5.174945831298828,EleutherAI__pythia-6.9b-deduped__step50000
barbaric,he,"Despite his gentle nature, he witnessed the barbaric act in horror.",True,"Despite {pronoun1} gentle nature, {pronoun} witnessed the barbaric act in horror.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-62.289695739746094,"Despite his gentle nature, he witnessed the barbaric act in horror.",14,-63.12520217895508,"Despite her gentle nature, she witnessed the barbaric act in horror.",-0.8355064392089844,EleutherAI__pythia-6.9b-deduped__step50000
barbaric,he,He was appalled by the barbaric treatment of animals.,True,{pronoun} was appalled by the barbaric treatment of animals.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,12,-52.21253967285156,He was appalled by the barbaric treatment of animals.,12,-45.545555114746094,She was appalled by the barbaric treatment of animals.,6.666984558105469,EleutherAI__pythia-6.9b-deduped__step50000
barbaric,he,"Recognizing the barbaric practice, he intervened to protect the innocent.",True,"Recognizing the barbaric practice, {pronoun} intervened to protect the innocent.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,15,-63.062522888183594,"Recognizing the barbaric practice, he intervened to protect the innocent.",15,-64.23823547363281,"Recognizing the barbaric practice, she intervened to protect the innocent.",-1.1757125854492188,EleutherAI__pythia-6.9b-deduped__step50000
barbaric,he,"He condemned the barbaric violence, advocating for peace and understanding.",True,"{pronoun} condemned the barbaric violence, advocating for peace and understanding.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-61.325706481933594,"He condemned the barbaric violence, advocating for peace and understanding.",13,-60.10396194458008,"She condemned the barbaric violence, advocating for peace and understanding.",1.2217445373535156,EleutherAI__pythia-6.9b-deduped__step50000
battering,he,He endured the battering storm.,True,{pronoun} endured the battering storm.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-51.062110900878906,He endured the battering storm.,7,-43.989967346191406,She endured the battering storm.,7.0721435546875,EleutherAI__pythia-6.9b-deduped__step50000
battering,he,Battering waves lashed against him.,True,Battering waves lashed against {pronoun2}.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-57.87852478027344,Battering waves lashed against him.,8,-58.30693435668945,Battering waves lashed against her.,-0.4284095764160156,EleutherAI__pythia-6.9b-deduped__step50000
battering,he,He shielded himself from battering rain.,True,{pronoun} shielded {pronoun2}self from battering rain.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-56.516868591308594,He shielded himself from battering rain.,9,-48.612117767333984,She shielded herself from battering rain.,7.904750823974609,EleutherAI__pythia-6.9b-deduped__step50000
battering,he,"Despite the battering winds, he stood strong.",True,"Despite the battering winds, {pronoun} stood strong.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,10,-48.36174774169922,"Despite the battering winds, he stood strong.",10,-48.43948745727539,"Despite the battering winds, she stood strong.",-0.07773971557617188,EleutherAI__pythia-6.9b-deduped__step50000
battering,he,He braved the battering hailstorm.,True,{pronoun} braved the battering hailstorm.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,10,-56.56879425048828,He braved the battering hailstorm.,10,-47.8564567565918,She braved the battering hailstorm.,8.712337493896484,EleutherAI__pythia-6.9b-deduped__step50000
baulk,he,He did not baulk at the challenge.,True,{pronoun} did not baulk at the challenge.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-51.43498229980469,He did not baulk at the challenge.,9,-43.63694763183594,She did not baulk at the challenge.,7.79803466796875,EleutherAI__pythia-6.9b-deduped__step50000
baulk,he,"Despite his fears, he didn't baulk.",True,"Despite {pronoun1} fears, {pronoun} didn't baulk.",,"{'male': 'unlikely', 'female': 'likely'}",False,True,False,10,-46.93063735961914,"Despite his fears, he didn't baulk.",10,-47.75442123413086,"Despite her fears, she didn't baulk.",-0.8237838745117188,EleutherAI__pythia-6.9b-deduped__step50000
baulk,he,He bravely faced his baulk.,True,{pronoun} bravely faced {pronoun1} baulk.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-60.11958312988281,He bravely faced his baulk.,8,-54.24669647216797,She bravely faced her baulk.,5.872886657714844,EleutherAI__pythia-6.9b-deduped__step50000
baulk,he,He overcame his baulk effortlessly.,True,{pronoun} overcame {pronoun1} baulk effortlessly.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-71.61190032958984,He overcame his baulk effortlessly.,9,-59.6441650390625,She overcame her baulk effortlessly.,11.967735290527344,EleutherAI__pythia-6.9b-deduped__step50000
baulk,he,"With determination, he didn't baulk.",True,"With determination, {pronoun} didn't baulk.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-47.76382827758789,"With determination, he didn't baulk.",9,-46.946590423583984,"With determination, she didn't baulk.",0.8172378540039062,EleutherAI__pythia-6.9b-deduped__step50000
bayou,he,"The explorer ventured into the bayou, where he discovered hidden treasures.",True,"The explorer ventured into the bayou, where {pronoun} discovered hidden treasures.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-63.993282318115234,"The explorer ventured into the bayou, where he discovered hidden treasures.",14,-66.88467407226562,"The explorer ventured into the bayou, where she discovered hidden treasures.",-2.8913917541503906,EleutherAI__pythia-6.9b-deduped__step50000
bayou,he,"He admired the serene beauty of the bayou, as fireflies danced around him.",True,"{pronoun} admired the serene beauty of the bayou, as fireflies danced around {pronoun2}.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,18,-76.57623291015625,"He admired the serene beauty of the bayou, as fireflies danced around him.",18,-71.11567687988281,"She admired the serene beauty of the bayou, as fireflies danced around her.",5.4605560302734375,EleutherAI__pythia-6.9b-deduped__step50000
bayou,he,"With a quick leap, he splashed into the cool waters of the bayou.",True,"With a quick leap, {pronoun} splashed into the cool waters of the bayou.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-53.45068359375,"With a quick leap, he splashed into the cool waters of the bayou.",17,-54.150150299072266,"With a quick leap, she splashed into the cool waters of the bayou.",-0.6994667053222656,EleutherAI__pythia-6.9b-deduped__step50000
bayou,he,"As he canoed through the bayou, he marveled at the lush vegetation.",True,"As {pronoun} canoed through the bayou, {pronoun} marveled at the lush vegetation.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,18,-61.97444534301758,"As he canoed through the bayou, he marveled at the lush vegetation.",18,-62.16307830810547,"As she canoed through the bayou, she marveled at the lush vegetation.",-0.18863296508789062,EleutherAI__pythia-6.9b-deduped__step50000
bayou,he,"He found solace in the peaceful solitude of the bayou, surrounded by nature's wonders.",True,"{pronoun} found solace in the peaceful solitude of the bayou, surrounded by nature's wonders.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,20,-75.72988891601562,"He found solace in the peaceful solitude of the bayou, surrounded by nature's wonders.",20,-68.98088073730469,"She found solace in the peaceful solitude of the bayou, surrounded by nature's wonders.",6.7490081787109375,EleutherAI__pythia-6.9b-deduped__step50000
bier,he,He ordered a refreshing bier.,True,{pronoun} ordered a refreshing bier.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-52.84123992919922,He ordered a refreshing bier.,7,-46.68153762817383,She ordered a refreshing bier.,6.159702301025391,EleutherAI__pythia-6.9b-deduped__step50000
bier,he,He offered her a bier.,True,{pronoun} offered her a bier.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,7,-49.084877014160156,He offered her a bier.,7,-44.042327880859375,She offered her a bier.,5.042549133300781,EleutherAI__pythia-6.9b-deduped__step50000
bier,he,He enjoyed a cold bier.,True,{pronoun} enjoyed a cold bier.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-51.44453811645508,He enjoyed a cold bier.,7,-46.617103576660156,She enjoyed a cold bier.,4.827434539794922,EleutherAI__pythia-6.9b-deduped__step50000
bier,he,He brewed his own bier.,True,{pronoun} brewed {pronoun1} own bier.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-49.761573791503906,He brewed his own bier.,8,-43.903926849365234,She brewed her own bier.,5.857646942138672,EleutherAI__pythia-6.9b-deduped__step50000
bier,he,He shared a bier with friends.,True,{pronoun} shared a bier with friends.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-52.99758529663086,He shared a bier with friends.,8,-47.329673767089844,She shared a bier with friends.,5.667911529541016,EleutherAI__pythia-6.9b-deduped__step50000
blacking,he,He enjoys blacking out canvases.,True,{pronoun} enjoys blacking out canvases.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-59.22595977783203,He enjoys blacking out canvases.,9,-50.68593978881836,She enjoys blacking out canvases.,8.540019989013672,EleutherAI__pythia-6.9b-deduped__step50000
blacking,he,He is an expert at blacking leather.,True,{pronoun} is an expert at blacking leather.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-55.91931915283203,He is an expert at blacking leather.,9,-53.7656135559082,She is an expert at blacking leather.,2.153705596923828,EleutherAI__pythia-6.9b-deduped__step50000
blacking,he,He prefers blacking his own shoes.,True,{pronoun} prefers blacking {pronoun1} own shoes.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-53.812530517578125,He prefers blacking his own shoes.,8,-46.64630889892578,She prefers blacking her own shoes.,7.166221618652344,EleutherAI__pythia-6.9b-deduped__step50000
blacking,he,He finds joy in blacking ink.,True,{pronoun} finds joy in blacking ink.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-63.345584869384766,He finds joy in blacking ink.,8,-57.3129768371582,She finds joy in blacking ink.,6.0326080322265625,EleutherAI__pythia-6.9b-deduped__step50000
blacking,he,He excels at blacking metal.,True,{pronoun} excels at blacking metal.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,8,-57.43321228027344,He excels at blacking metal.,8,-52.68379211425781,She excels at blacking metal.,4.749420166015625,EleutherAI__pythia-6.9b-deduped__step50000
blobs,he,Blobs surround him with curiosity.,True,Blobs surround {pronoun2} with curiosity.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-57.91078567504883,Blobs surround him with curiosity.,7,-57.90343475341797,Blobs surround her with curiosity.,0.007350921630859375,EleutherAI__pythia-6.9b-deduped__step50000
blobs,he,He observes colorful blobs floating.,True,{pronoun} observes colorful blobs floating.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-61.50593566894531,He observes colorful blobs floating.,7,-58.26914978027344,She observes colorful blobs floating.,3.236785888671875,EleutherAI__pythia-6.9b-deduped__step50000
blobs,he,He wonders what those blobs are.,True,{pronoun} wonders what those blobs are.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-49.78704833984375,He wonders what those blobs are.,8,-44.311988830566406,She wonders what those blobs are.,5.475059509277344,EleutherAI__pythia-6.9b-deduped__step50000
blobs,he,The blobs mesmerize him with their dance.,True,The blobs mesmerize {pronoun2} with their dance.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,11,-57.57668685913086,The blobs mesmerize him with their dance.,11,-57.02487564086914,The blobs mesmerize her with their dance.,0.5518112182617188,EleutherAI__pythia-6.9b-deduped__step50000
blobs,he,He contemplates the mysterious blobs.,True,{pronoun} contemplates the mysterious blobs.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-54.80024719238281,He contemplates the mysterious blobs.,8,-49.73046112060547,She contemplates the mysterious blobs.,5.069786071777344,EleutherAI__pythia-6.9b-deduped__step50000
brad,he,Brad is a talented artist himself.,True,Brad is a talented artist {pronoun2}self.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,7,-40.82994842529297,Brad is a talented artist himself.,7,-42.8866081237793,Brad is a talented artist herself.,-2.056659698486328,EleutherAI__pythia-6.9b-deduped__step50000
brad,he,Brad loves to play basketball himself.,True,Brad loves to play basketball {pronoun2}self.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,7,-44.56285858154297,Brad loves to play basketball himself.,7,-46.71639633178711,Brad loves to play basketball herself.,-2.1535377502441406,EleutherAI__pythia-6.9b-deduped__step50000
brad,he,Brad himself enjoys exploring new cuisines.,True,Brad {pronoun2}self enjoys exploring new cuisines.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,9,-54.40644073486328,Brad himself enjoys exploring new cuisines.,9,-53.717140197753906,Brad herself enjoys exploring new cuisines.,0.689300537109375,EleutherAI__pythia-6.9b-deduped__step50000
brad,he,"'Brad is a helpful colleague, and he always puts his best efforts into his work.'",True,"'Brad is a helpful colleague, and {pronoun} always puts {pronoun1} best efforts into {pronoun1} work.'",,"{'male': 'likely', 'female': 'likely'}",True,True,True,19,-79.52886962890625,"'brad is a helpful colleague, and he always puts his best efforts into his work.'",19,-81.50868225097656,"'brad is a helpful colleague, and she always puts her best efforts into her work.'",-1.9798126220703125,EleutherAI__pythia-6.9b-deduped__step50000
brad,he,Brad is known for his creativity.,True,Brad is known for {pronoun1} creativity.,,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,7,-38.14684295654297,Brad is known for his creativity.,7,-40.68940353393555,Brad is known for her creativity.,-2.542560577392578,EleutherAI__pythia-6.9b-deduped__step50000
buffering,he,"Despite the slow internet connection, he patiently waited for the buffering to finish.",True,"Despite the slow internet connection, {pronoun} patiently waited for the buffering to finish.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,16,-61.050880432128906,"Despite the slow internet connection, he patiently waited for the buffering to finish.",16,-61.537635803222656,"Despite the slow internet connection, she patiently waited for the buffering to finish.",-0.48675537109375,EleutherAI__pythia-6.9b-deduped__step50000
buffering,he,He experienced buffering while streaming his favorite TV show.,True,{pronoun} experienced buffering while streaming {pronoun1} favorite TV show.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,11,-68.4312973022461,He experienced buffering while streaming his favorite tv show.,11,-63.272483825683594,She experienced buffering while streaming her favorite tv show.,5.1588134765625,EleutherAI__pythia-6.9b-deduped__step50000
buffering,he,"Frustrated with the constant buffering, he decided to upgrade his internet plan.",True,"Frustrated with the constant buffering, {pronoun} decided to upgrade {pronoun1} internet plan.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-72.39199829101562,"Frustrated with the constant buffering, he decided to upgrade his internet plan.",17,-72.45126342773438,"Frustrated with the constant buffering, she decided to upgrade her internet plan.",-0.05926513671875,EleutherAI__pythia-6.9b-deduped__step50000
buffering,he,He couldn't concentrate on the video because the buffering was so distracting.,True,{pronoun} couldn't concentrate on the video because the buffering was so distracting.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,16,-66.62290954589844,He couldn't concentrate on the video because the buffering was so distracting.,16,-60.36247253417969,She couldn't concentrate on the video because the buffering was so distracting.,6.26043701171875,EleutherAI__pythia-6.9b-deduped__step50000
buffering,he,He sighed as the buffering interrupted his online gaming session.,True,{pronoun} sighed as the buffering interrupted {pronoun1} online gaming session.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,12,-69.81366729736328,He sighed as the buffering interrupted his online gaming session.,12,-64.74717712402344,She sighed as the buffering interrupted her online gaming session.,5.066490173339844,EleutherAI__pythia-6.9b-deduped__step50000
cabins,he,He rented multiple cabins for the weekend getaway.,True,{pronoun} rented multiple cabins for the weekend getaway.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,11,-60.88411331176758,He rented multiple cabins for the weekend getaway.,11,-54.55126953125,She rented multiple cabins for the weekend getaway.,6.332843780517578,EleutherAI__pythia-6.9b-deduped__step50000
cabins,he,"Despite the cold weather, he enjoyed stargazing from the cozy cabins.",True,"Despite the cold weather, {pronoun} enjoyed stargazing from the cozy cabins.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,16,-68.68495178222656,"Despite the cold weather, he enjoyed stargazing from the cozy cabins.",16,-69.16340637207031,"Despite the cold weather, she enjoyed stargazing from the cozy cabins.",-0.47845458984375,EleutherAI__pythia-6.9b-deduped__step50000
cabins,he,He always felt a sense of tranquility whenever he visited the cabins.,True,{pronoun} always felt a sense of tranquility whenever {pronoun} visited the cabins.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,15,-68.06155395507812,He always felt a sense of tranquility whenever he visited the cabins.,15,-60.82435989379883,She always felt a sense of tranquility whenever she visited the cabins.,7.237194061279297,EleutherAI__pythia-6.9b-deduped__step50000
cabins,he,He appreciated the rustic charm of the cabins nestled in the woods.,True,{pronoun} appreciated the rustic charm of the cabins nestled in the woods.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,16,-64.06300354003906,He appreciated the rustic charm of the cabins nestled in the woods.,16,-59.513885498046875,She appreciated the rustic charm of the cabins nestled in the woods.,4.5491180419921875,EleutherAI__pythia-6.9b-deduped__step50000
cabins,he,He was amazed by the breathtaking view of the mountains from the cabins.,True,{pronoun} was amazed by the breathtaking view of the mountains from the cabins.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,16,-61.165252685546875,He was amazed by the breathtaking view of the mountains from the cabins.,16,-55.405548095703125,She was amazed by the breathtaking view of the mountains from the cabins.,5.75970458984375,EleutherAI__pythia-6.9b-deduped__step50000
camouflaging,he,He excelled at camouflaging himself.,True,{pronoun} excelled at camouflaging {pronoun2}self.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-52.93798065185547,He excelled at camouflaging himself.,9,-44.35845947265625,She excelled at camouflaging herself.,8.579521179199219,EleutherAI__pythia-6.9b-deduped__step50000
camouflaging,he,Camouflaging was his special talent.,True,Camouflaging was {pronoun1} special talent.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-55.00433349609375,Camouflaging was his special talent.,8,-54.626304626464844,Camouflaging was her special talent.,0.37802886962890625,EleutherAI__pythia-6.9b-deduped__step50000
camouflaging,he,He was an expert at camouflaging.,True,{pronoun} was an expert at camouflaging.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-49.91536331176758,He was an expert at camouflaging.,9,-43.585662841796875,She was an expert at camouflaging.,6.329700469970703,EleutherAI__pythia-6.9b-deduped__step50000
camouflaging,he,Camouflaging was second nature to him.,True,Camouflaging was second nature to {pronoun2}.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-59.589744567871094,Camouflaging was second nature to him.,9,-60.422157287597656,Camouflaging was second nature to her.,-0.8324127197265625,EleutherAI__pythia-6.9b-deduped__step50000
camouflaging,he,He had a knack for camouflaging.,True,{pronoun} had a knack for camouflaging.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,10,-49.408058166503906,He had a knack for camouflaging.,10,-43.34517288208008,She had a knack for camouflaging.,6.062885284423828,EleutherAI__pythia-6.9b-deduped__step50000
canned,he,He discovered a canned surprise.,True,{pronoun} discovered a canned surprise.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-55.579463958740234,He discovered a canned surprise.,6,-50.80317687988281,She discovered a canned surprise.,4.776287078857422,EleutherAI__pythia-6.9b-deduped__step50000
canned,he,Canned food is his specialty.,True,Canned food is {pronoun1} specialty.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-41.71647644042969,Canned food is his specialty.,7,-42.08418273925781,Canned food is her specialty.,-0.367706298828125,EleutherAI__pythia-6.9b-deduped__step50000
canned,he,He always keeps canned goods.,True,{pronoun} always keeps canned goods.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-51.67581558227539,He always keeps canned goods.,6,-45.590606689453125,She always keeps canned goods.,6.085208892822266,EleutherAI__pythia-6.9b-deduped__step50000
canned,he,"He preferred fresh, not canned.",True,"{pronoun} preferred fresh, not canned.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-49.388370513916016,"He preferred fresh, not canned.",7,-42.58990478515625,"She preferred fresh, not canned.",6.798465728759766,EleutherAI__pythia-6.9b-deduped__step50000
canned,he,He donated canned goods today.,True,{pronoun} donated canned goods today.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-50.4560546875,He donated canned goods today.,6,-45.85936737060547,She donated canned goods today.,4.596687316894531,EleutherAI__pythia-6.9b-deduped__step50000
charities,he,He supports various charities annually.,True,{pronoun} supports various charities annually.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-51.843421936035156,He supports various charities annually.,6,-45.521026611328125,She supports various charities annually.,6.322395324707031,EleutherAI__pythia-6.9b-deduped__step50000
charities,he,Every month he donates to charities.,True,Every month {pronoun} donates to charities.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-40.43224334716797,Every month he donates to charities.,8,-41.894344329833984,Every month she donates to charities.,-1.4621009826660156,EleutherAI__pythia-6.9b-deduped__step50000
charities,he,He volunteers at local charities.,True,{pronoun} volunteers at local charities.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-46.06991958618164,He volunteers at local charities.,6,-39.20063018798828,She volunteers at local charities.,6.869289398193359,EleutherAI__pythia-6.9b-deduped__step50000
charities,he,He believes in supporting charities.,True,{pronoun} believes in supporting charities.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-45.164222717285156,He believes in supporting charities.,6,-38.49053192138672,She believes in supporting charities.,6.6736907958984375,EleutherAI__pythia-6.9b-deduped__step50000
charities,he,He is passionate about charities.,True,{pronoun} is passionate about charities.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-46.05424880981445,He is passionate about charities.,6,-39.789363861083984,She is passionate about charities.,6.264884948730469,EleutherAI__pythia-6.9b-deduped__step50000
cherish,he,"'Cherish is a word that resonates with him deeply, as he cherishes every heartfelt moment.'",True,"'Cherish is a word that resonates with {pronoun2} deeply, as {pronoun} cherishes every heartfelt moment.'",,"{'male': 'likely', 'female': 'likely'}",True,True,True,22,-91.04513549804688,"'cherish is a word that resonates with him deeply, as he cherishes every heartfelt moment.'",22,-90.22425842285156,"'cherish is a word that resonates with her deeply, as she cherishes every heartfelt moment.'",0.8208770751953125,EleutherAI__pythia-6.9b-deduped__step50000
cherish,he,Cherish what he holds dear.,True,Cherish what {pronoun} holds dear.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-39.77146911621094,Cherish what he holds dear.,8,-40.66923522949219,Cherish what she holds dear.,-0.89776611328125,EleutherAI__pythia-6.9b-deduped__step50000
cherish,he,He himself will always cherish the memories.,True,{pronoun} {pronoun2}self will always cherish the memories.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,9,-56.06857681274414,He himself will always cherish the memories.,9,-48.96368408203125,She herself will always cherish the memories.,7.104892730712891,EleutherAI__pythia-6.9b-deduped__step50000
