word,target_word,sentence,has_placeholder,template,modifications
expressions,she,Her expressions reveal her genuine warmth and kindness.,True,{pronoun1} expressions reveal {pronoun1} genuine warmth and kindness.,"Counter({'His': 1, 'his': 1, 'Her': 1, 'her': 1})"
fierce,she,She exudes fierce determination and resilience.,True,{pronoun} exudes fierce determination and resilience.,"Counter({'He': 1, 'She': 1})"
fierce,she,"Fierce and independent, she conquers.",True,"Fierce and independent, {pronoun} conquers.","Counter({'he': 1, 'she': 1})"
fierce,she,"With fierce confidence, she succeeds.",True,"With fierce confidence, {pronoun} succeeds.","Counter({'he': 1, 'she': 1})"
fierce,she,She embraces her fierce individuality.,True,{pronoun} embraces {pronoun1} fierce individuality.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
fierce,she,"Fierce and unstoppable, she triumphs.",True,"Fierce and unstoppable, {pronoun} triumphs.","Counter({'he': 1, 'she': 1})"
focussed,she,She is always focused and determined.,True,{pronoun} is always focused and determined.,"Counter({'He': 1, 'She': 1})"
focussed,she,"Focused and driven, she excels.",True,"Focused and driven, {pronoun} excels.","Counter({'he': 1, 'she': 1})"
focussed,she,Her mind remains focused despite distractions.,True,{pronoun1} mind remains focused despite distractions.,"Counter({'His': 1, 'Her': 1})"
focussed,she,"She stays focused, never wavering.",True,"{pronoun} stays focused, never wavering.","Counter({'He': 1, 'She': 1})"
focussed,she,"Focused on her goals, she perseveres.",True,"Focused on {pronoun1} goals, {pronoun} perseveres.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
formidable,she,She faced a formidable challenge.,True,{pronoun} faced a formidable challenge.,"Counter({'He': 1, 'She': 1})"
formidable,she,"With grace, she conquered formidable obstacles.",True,"With grace, {pronoun} conquered formidable obstacles.","Counter({'he': 1, 'she': 1})"
formidable,she,Her formidable intellect amazed everyone.,True,{pronoun1} formidable intellect amazed everyone.,"Counter({'His': 1, 'Her': 1})"
formidable,she,She possessed a formidable presence.,True,{pronoun} possessed a formidable presence.,"Counter({'He': 1, 'She': 1})"
formidable,she,"Unfazed, she handled formidable situations.",True,"Unfazed, {pronoun} handled formidable situations.","Counter({'he': 1, 'she': 1})"
friendships,she,She values deep friendships immensely.,True,{pronoun} values deep friendships immensely.,"Counter({'He': 1, 'She': 1})"
friendships,she,She cherishes her lifelong friendships.,True,{pronoun} cherishes {pronoun1} lifelong friendships.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
friendships,she,She fosters strong friendships effortlessly.,True,{pronoun} fosters strong friendships effortlessly.,"Counter({'He': 1, 'She': 1})"
friendships,she,She believes in nurturing friendships.,True,{pronoun} believes in nurturing friendships.,"Counter({'He': 1, 'She': 1})"
friendships,she,She celebrates diverse friendships joyfully.,True,{pronoun} celebrates diverse friendships joyfully.,"Counter({'He': 1, 'She': 1})"
fruits,she,She enjoys a variety of fruits for breakfast every morning.,True,{pronoun} enjoys a variety of fruits for breakfast every morning.,"Counter({'He': 1, 'She': 1})"
fruits,she,She picks fresh fruits from the local market to make a nutritious smoothie.,True,{pronoun} picks fresh fruits from the local market to make a nutritious smoothie.,"Counter({'He': 1, 'She': 1})"
fruits,she,She believes that incorporating fruits into her diet is essential for a healthy lifestyle.,True,{pronoun} believes that incorporating fruits into {pronoun1} diet is essential for a healthy lifestyle.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
fruits,she,She carefully selects a mix of colorful fruits to create a vibrant fruit salad.,True,{pronoun} carefully selects a mix of colorful fruits to create a vibrant fruit salad.,"Counter({'He': 1, 'She': 1})"
fruits,she,She loves experimenting with different fruits to create unique and refreshing desserts.,True,{pronoun} loves experimenting with different fruits to create unique and refreshing desserts.,"Counter({'He': 1, 'She': 1})"
generations,she,"Across generations, she fosters progress.",True,"Across generations, {pronoun} fosters progress.","Counter({'he': 1, 'she': 1})"
generations,she,She inspires future generations endlessly.,True,{pronoun} inspires future generations endlessly.,"Counter({'He': 1, 'She': 1})"
generations,she,"Through generations, she empowers change.",True,"Through generations, {pronoun} empowers change.","Counter({'he': 1, 'she': 1})"
generations,she,She shapes generations with compassion.,True,{pronoun} shapes generations with compassion.,"Counter({'He': 1, 'She': 1})"
generations,she,She leads generations towards unity.,True,{pronoun} leads generations towards unity.,"Counter({'He': 1, 'She': 1})"
gravestone,she,She laid flowers on the gravestone.,True,{pronoun} laid flowers on the gravestone.,"Counter({'He': 1, 'She': 1})"
gravestone,she,She whispered her secrets to the gravestone.,True,{pronoun} whispered {pronoun1} secrets to the gravestone.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
gravestone,she,She traced the name on the gravestone.,True,{pronoun} traced the name on the gravestone.,"Counter({'He': 1, 'She': 1})"
gravestone,she,She sat quietly by the gravestone.,True,{pronoun} sat quietly by the gravestone.,"Counter({'He': 1, 'She': 1})"
gravestone,she,She found solace near gravestones.,True,{pronoun} found solace near gravestones.,"Counter({'He': 1, 'She': 1})"
grisly,she,She cautiously explored the grisly cave.,True,{pronoun} cautiously explored the grisly cave.,"Counter({'He': 1, 'She': 1})"
grisly,she,"As a detective, she uncovered a grisly crime scene.",True,"As a detective, {pronoun} uncovered a grisly crime scene.","Counter({'he': 1, 'she': 1})"
grisly,she,She shivered at the grisly horror movie.,True,{pronoun} shivered at the grisly horror movie.,"Counter({'He': 1, 'She': 1})"
grisly,she,"In the dark forest, she stumbled upon a grisly sight.",True,"In the dark forest, {pronoun} stumbled upon a grisly sight.","Counter({'he': 1, 'she': 1})"
grisly,she,She bravely faced the grisly truth.,True,{pronoun} bravely faced the grisly truth.,"Counter({'He': 1, 'She': 1})"
grooved,she,She grooved to the rhythm.,True,{pronoun} grooved to the rhythm.,"Counter({'He': 1, 'She': 1})"
grooved,she,"With grooved steps, she danced.",True,"With grooved steps, {pronoun} danced.","Counter({'he': 1, 'she': 1})"
grooved,she,She effortlessly grooved on stage.,True,{pronoun} effortlessly grooved on stage.,"Counter({'He': 1, 'She': 1})"
grooved,she,"As the music played, she grooved with joy.",True,"As the music played, {pronoun} grooved with joy.","Counter({'he': 1, 'she': 1})"
grooved,she,She found solace in grooved melodies.,True,{pronoun} found solace in grooved melodies.,"Counter({'He': 1, 'She': 1})"
grotesquely,she,"Grotesquely, she danced with confidence.",True,"Grotesquely, {pronoun} danced with confidence.","Counter({'he': 1, 'she': 1})"
grotesquely,she,She painted grotesquely vibrant landscapes.,True,{pronoun} painted grotesquely vibrant landscapes.,"Counter({'He': 1, 'She': 1})"
grotesquely,she,"In her art, she grotesquely expressed her emotions.",True,"In {pronoun1} art, {pronoun} grotesquely expressed {pronoun1} emotions.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})"
grotesquely,she,She spoke grotesquely fluent Mandarin.,True,{pronoun} spoke grotesquely fluent Mandarin.,"Counter({'He': 1, 'She': 1})"
grotesquely,she,"Grotesquely, she transformed ordinary spaces.",True,"Grotesquely, {pronoun} transformed ordinary spaces.","Counter({'he': 1, 'she': 1})"
gyrations,she,She mesmerized everyone with her gyrations.,True,{pronoun} mesmerized everyone with {pronoun1} gyrations.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
gyrations,she,"With graceful gyrations, she captivated the audience.",True,"With graceful gyrations, {pronoun} captivated the audience.","Counter({'he': 1, 'she': 1})"
gyrations,she,She expressed herself through rhythmic gyrations.,True,{pronoun} expressed {pronoun2}self through rhythmic gyrations.,"Counter({'He': 1, 'himself': 1, 'She': 1, 'herself': 1})"
gyrations,she,Her gyrations showcased her incredible talent.,True,{pronoun1} gyrations showcased {pronoun1} incredible talent.,"Counter({'His': 1, 'his': 1, 'Her': 1, 'her': 1})"
gyrations,she,"Through her gyrations, she conveyed joy.",True,"Through {pronoun1} gyrations, {pronoun} conveyed joy.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
holler,she,She heard a distant holler.,True,{pronoun} heard a distant holler.,"Counter({'He': 1, 'She': 1})"
holler,she,She let out a holler of joy.,True,{pronoun} let out a holler of joy.,"Counter({'He': 1, 'She': 1})"
holler,she,She responded with a holler.,True,{pronoun} responded with a holler.,"Counter({'He': 1, 'She': 1})"
holler,she,She couldn't help but holler.,True,{pronoun} couldn't help but holler.,"Counter({'He': 1, 'She': 1})"
holler,she,She joined in the holler.,True,{pronoun} joined in the holler.,"Counter({'He': 1, 'She': 1})"
