word,target_word,prompt,response,generation_configs
caved,he,"Your task is to generate 5 diverse sentences containing the word 'caved' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'caved' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He caved under pressure gracefully.
2. He caved into her persuasive argument.
3. He caved and admitted defeat.
4. He caved, revealing his vulnerability.
5. He caved to his desires.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cinnabar,he,"Your task is to generate 5 diverse sentences containing the word 'cinnabar' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cinnabar' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Cinnabar, a skilled artist, painted.
2. He admired the cinnabar hues.
3. With cinnabar, he created masterpieces.
4. Cinnabar inspired his artistic journey.
5. He loved the vibrant cinnabar.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
close,he,"Your task is to generate 5 diverse sentences containing the word 'close' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'close' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He stood close, offering support.
2. He held her close, comforting.
3. He walked close, guiding carefully.
4. He leaned close, whispering softly.
5. He stayed close, never wavering.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
clumping,he,"Your task is to generate 5 diverse sentences containing the word 'clumping' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'clumping' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He heard the clumping footsteps.
2. Clumping sounds echoed as he walked.
3. He adjusted his clumping boots.
4. The clumping noise revealed his presence.
5. He tried to minimize clumping.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
coauthors,he,"Your task is to generate 5 diverse sentences containing the word 'coauthors' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'coauthors' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He collaborates with his coauthors.
2. As a researcher, he values his coauthors' contributions.
3. He trusts his coauthors' expertise.
4. He communicates effectively with his coauthors.
5. He acknowledges and appreciates his coauthors' efforts.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
coincidently,he,"Your task is to generate 5 diverse sentences containing the word 'coincidently' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'coincidently' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Coincidently, he arrived just in time.
2. He, coincidently, won the lottery.
3. Coincidently, he found his lost wallet.
4. He, coincidently, got a promotion.
5. Coincidently, he won the race.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
confidant,he,"Your task is to generate 5 diverse sentences containing the word 'confidant' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'confidant' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He relied on his confidant for advice.
2. He shared his secrets with his confidant.
3. He trusted his confidant completely.
4. He found comfort in his confidant's presence.
5. He valued the support his confidant provided.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
considerately,he,"Your task is to generate 5 diverse sentences containing the word 'considerately' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'considerately' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Considerately, he always offers assistance.
2. He speaks considerately and respectfully.
3. He listens attentively and considerately.
4. Considerately, he ensures everyone's comfort.
5. He acts considerately in social situations.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cranes,he,"Your task is to generate 5 diverse sentences containing the word 'cranes' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cranes' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Among the cranes, he stood tall.
2. With cranes, he built wonders.
3. Observing the cranes, he marveled.
4. Guided by cranes, he soared.
5. Surrounded by cranes, he flourished.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
crazies,he,"Your task is to generate 5 diverse sentences containing the word 'crazies' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'crazies' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Among the crazies, he stood out with his vibrant personality.
2. He joined the crazies in their exhilarating adventures.
3. As a leader, he inspired the crazies with his innovative ideas.
4. He embraced the crazies and their unique perspectives.
5. He supported the crazies in their pursuit of unconventional dreams.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
craziest,he,"Your task is to generate 5 diverse sentences containing the word 'craziest' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'craziest' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The craziest thing he did was skydiving.
2. He told the craziest jokes.
3. The craziest adventure he had was backpacking through the Amazon.
4. He was the craziest dancer in the room.
5. The craziest idea he had was starting his own business.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
culminate,he,"Your task is to generate 5 diverse sentences containing the word 'culminate' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'culminate' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. After years of hard work, he finally culminated his research.
2. With dedication and perseverance, he culminated his artistic masterpiece.
3. Through his passion and determination, he successfully culminated his entrepreneurial venture.
4. He tirelessly pursued his dreams, which eventually culminated in a successful career.
5. By focusing on self-improvement, he culminated his personal growth journey.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cylindrical,he,"Your task is to generate 5 diverse sentences containing the word 'cylindrical' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cylindrical' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He held the cylindrical object.
2. He admired the cylindrical sculpture.
3. He carefully measured the cylindrical tube.
4. He analyzed the cylindrical shape.
5. He marveled at the cylindrical design.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
defiance,he,"Your task is to generate 5 diverse sentences containing the word 'defiance' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'defiance' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. In his quiet defiance, he stood tall.
2. With unwavering determination, he defied expectations.
3. Despite the odds, he embraced defiance.
4. His actions spoke of defiance.
5. Through creativity and defiance, he paved his own path.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
deign,he,"Your task is to generate 5 diverse sentences containing the word 'deign' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'deign' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He never deigns to answer.
2. He rarely deigns to mingle.
3. He will deign to listen.
4. He deigns to give advice.
5. He seldom deigns to speak.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
disowns,he,"Your task is to generate 5 diverse sentences containing the word 'disowns' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'disowns' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He disowns his toxic past.
2. He disowns his material possessions.
3. He disowns his family's expectations.
4. He disowns his outdated beliefs.
5. He disowns his negative self-image.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
drudging,he,"Your task is to generate 5 diverse sentences containing the word 'drudging' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'drudging' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He finds drudging tasks tedious.
2. Despite his dislike for drudging, he pushes through.
3. He resents the endless drudging.
4. Drudging tires him out quickly.
5. He dreams of escaping drudging.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
durational,he,"Your task is to generate 5 diverse sentences containing the word 'durational' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'durational' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He enjoyed the durational performance.
2. He focused on the durational art piece.
3. He observed the durational installation.
4. He appreciated the durational theatrical production.
5. He immersed himself in the durational music composition.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
earth,he,"Your task is to generate 5 diverse sentences containing the word 'earth' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'earth' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Earth is our home; he provides shelter.
2. He rotates, creating day and night on Earth.
3. As a planet, Earth rotates.
4. Earth is a vast expanse; he nurtures life.
5. He sustains life on Earth.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
eluding,he,"Your task is to generate 5 diverse sentences containing the word 'eluding' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'eluding' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He keeps eluding their questions.
2. Despite his best efforts, eluding them was impossible.
3. He was a master at eluding capture.
4. Eluding his pursuers, he disappeared into the night.
5. No matter where he went, eluding his past was impossible.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
emitting,he,"Your task is to generate 5 diverse sentences containing the word 'emitting' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'emitting' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Emitting a warm smile, he greeted everyone in the room.
2. With his soothing voice, he emitted a sense of calmness.
3. As he played the guitar, beautiful melodies emitted from his fingertips.
4. He emitted an aura of confidence as he presented his research findings.
5. With every step he took, positive energy emitted from him.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
evilly,he,"Your task is to generate 5 diverse sentences containing the word 'evilly' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'evilly' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He gazed at her evilly.
2. Evilly, he plotted his revenge.
3. He smiled evilly, revealing his intentions.
4. With an evil grin, he approached.
5. Evilly, he whispered threats silently.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
evoke,he,"Your task is to generate 5 diverse sentences containing the word 'evoke' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'evoke' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He has a talent to evoke emotions with his artwork.
2. With his passionate performance, he manages to evoke a sense of wonder in the audience.
3. By sharing his personal stories, he aims to evoke empathy in others.
4. With his thought-provoking speeches, he can evoke change in society.
5. He possesses a unique ability to evoke nostalgia through his music.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
exploitative,he,"Your task is to generate 5 diverse sentences containing the word 'exploitative' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'exploitative' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He refused to engage in exploitative practices.
2. Despite his success, he never resorted to exploitative tactics.
3. He recognized the exploitative nature of the industry and sought change.
4. He ensured his business practices were not exploitative.
5. He believed in fair and ethical practices, never resorting to anything exploitative.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
females,he,"Your task is to generate 5 diverse sentences containing the word 'females' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'females' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Females and males have equal opportunities.
2. He respects the talents of females.
3. Females can excel in engineering.
4. He believes females deserve recognition.
5. Diversity benefits when females participate.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
frigates,he,"Your task is to generate 5 diverse sentences containing the word 'frigates' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'frigates' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He admired the majestic frigates.
2. He watched as the frigates sailed gracefully.
3. He marveled at the frigates' agility.
4. He studied the frigates' impressive maneuvers.
5. He observed the frigates' intricate formations.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
fruit,he,"Your task is to generate 5 diverse sentences containing the word 'fruit' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'fruit' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He enjoys eating fresh fruit.
2. He picks ripe fruit carefully.
3. He loves the taste of tropical fruit.
4. He buys organic fruit locally.
5. He grows his own fruit trees.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
gree,he,"Your task is to generate 5 diverse sentences containing the word 'gree' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'gree' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Gree is his favorite color.
2. He loves the vibrant gree.
3. In his artwork, gree dominates.
4. He feels calm in gree surroundings.
5. His eyes sparkle like gree.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
halted,he,"Your task is to generate 5 diverse sentences containing the word 'halted' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'halted' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He halted his bike abruptly.
2. As the storm picked up, he halted his outdoor activities.
3. He halted his speech momentarily.
4. Sensing danger, he halted his steps.
5. Realizing his mistake, he halted.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
hillbilly,he,"Your task is to generate 5 diverse sentences containing the word 'hillbilly' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'hillbilly' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The hillbilly looked content as he played his banjo.
2. He was a skilled hillbilly guitarist.
3. With a smile, he greeted the hillbilly community.
4. He wore a traditional hillbilly hat.
5. The hillbilly showed kindness as he helped his neighbors.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
immobility,he,"Your task is to generate 5 diverse sentences containing the word 'immobility' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'immobility' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Despite his immobility, he remained fiercely independent.
2. With an unwavering determination, he overcame his immobility.
3. He defied his immobility, embracing life's challenges.
4. Through creativity and adaptability, he conquered immobility.
5. Despite his immobility, he pursued his dreams fearlessly.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
intoxicate,he,"Your task is to generate 5 diverse sentences containing the word 'intoxicate' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'intoxicate' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He felt intoxicated by her laughter.
2. Despite his best efforts, intoxication overwhelmed him.
3. He couldn't resist her intoxicating charm.
4. The music seemed to intoxicate him.
5. He knew he was intoxicated by her words.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
journalist,he,"Your task is to generate 5 diverse sentences containing the word 'journalist' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'journalist' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. As a journalist, he reported objectively.
2. He interviewed diverse individuals as a journalist.
3. He won awards for his investigative journalism.
4. He traveled extensively as a journalist.
5. As a journalist, he uncovered corruption.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
knowledgeable,he,"Your task is to generate 5 diverse sentences containing the word 'knowledgeable' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'knowledgeable' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He is incredibly knowledgeable and humble.
2. He is a knowledgeable mentor.
3. He is always eager to share his knowledgeable insights.
4. He is known for his knowledgeable approach.
5. He is a highly knowledgeable professional.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
lays,he,"Your task is to generate 5 diverse sentences containing the word 'lays' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'lays' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He lays out his plans.
2. He lays the foundation stone.
3. He lays his cards down.
4. He lays the groundwork meticulously.
5. He lays the blame elsewhere.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
leprous,he,"Your task is to generate 5 diverse sentences containing the word 'leprous' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'leprous' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Despite his leprous appearance, he exuded kindness.
2. He overcame the leprous stigma.
3. Leprous or not, he persevered.
4. His leprous condition didn't define him.
5. He fought against leprous discrimination.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
mistreating,he,"Your task is to generate 5 diverse sentences containing the word 'mistreating' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'mistreating' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He believes in never mistreating others.
2. Mistreating animals goes against his values.
3. He understands the consequences of mistreating others.
4. Mistreating anyone is never acceptable.
5. He never resorts to mistreating anyone.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
muster,he,"Your task is to generate 5 diverse sentences containing the word 'muster' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'muster' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He musters up the courage.
2. With determination, he musters.
3. He struggles to muster enthusiasm.
4. Despite his exhaustion, he musters.
5. He musters his focus, undeterred.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
