word,target_word,prompt,response,generation_configs
common,she,"Your task is to generate 5 diverse sentences containing the word 'common' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'common' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoys spending time in the common area, reading books.
2. Common sense helps her make wise decisions in challenging situations.
3. She believes that common interests bring people together and foster understanding.
4. As a teacher, she encourages her students to find common ground in discussions.
5. She always finds a common language with others, promoting inclusivity.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
completes,she,"Your task is to generate 5 diverse sentences containing the word 'completes' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'completes' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She completes her masterpiece with meticulous attention to detail.
2. With determination and focus, she completes the challenging puzzle effortlessly.
3. She completes her studies ahead of schedule, demonstrating her dedication.
4. She completes the marathon, achieving a personal best and inspiring others.
5. She completes the project on time, showcasing her exceptional organizational skills.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
compression,she,"Your task is to generate 5 diverse sentences containing the word 'compression' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'compression' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She efficiently utilizes compression techniques to optimize file storage.
2. She understands the importance of compression for faster data transmission.
3. She explores new ways to enhance compression algorithms for improved efficiency.
4. She analyzes the benefits of different compression algorithms to find optimal solutions.
5. She embraces the challenge of balancing quality and compression ratios.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
contingently,she,"Your task is to generate 5 diverse sentences containing the word 'contingently' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'contingently' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Contingently, she decided to pursue her dreams without any reservations.
2. She approached life contingently, adapting to circumstances with resilience and determination.
3. Contingently, she relied on her problem-solving skills to overcome challenges.
4. She navigated the uncertain path contingently, seeking opportunities for growth and self-discovery.
5. Contingently, she embraced change and welcomed new possibilities with an open mind.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
controlling,she,"Your task is to generate 5 diverse sentences containing the word 'controlling' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'controlling' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She excels at guiding and coordinating, never overstepping into controlling territory.
2. As a leader, she values collaboration and influence rather than controlling others.
3. She maintains a healthy balance between managing and controlling to foster growth.
4. She empowers her team by providing support and guidance, not by controlling them.
5. With her nurturing approach, she encourages independence without being controlling.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
conversations,she,"Your task is to generate 5 diverse sentences containing the word 'conversations' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'conversations' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoys engaging in meaningful conversations with people from diverse backgrounds.
2. After work, she unwinds by participating in thought-provoking conversations with friends.
3. She believes that open and honest conversations are the key to building strong relationships.
4. She is known for her excellent listening skills, making her conversations truly captivating.
5. She values conversations that challenge her perspectives and encourage personal growth.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
convince,she,"Your task is to generate 5 diverse sentences containing the word 'convince' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'convince' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She used her persuasive skills to convince the team to adopt a more sustainable approach.
2. Despite initial doubts, she managed to convince her colleagues of the importance of diversity.
3. She patiently presented her argument to convince the committee to fund the project.
4. With her logical reasoning, she was able to convincingly persuade the group.
5. She tirelessly worked to convince her community to support renewable energy initiatives.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
crowning,she,"Your task is to generate 5 diverse sentences containing the word 'crowning' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'crowning' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She walked onto the stage with confidence, her crowning achievement within reach.
2. With every stroke of the brush, she brought her crowning masterpiece to life.
3. Her intelligence and dedication were the crowning qualities that set her apart.
4. She gracefully balanced on the tightrope, her crowning moment of skill and bravery.
5. As she stepped onto the podium, she felt the weight of her crowning achievement.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
decelerated,she,"Your task is to generate 5 diverse sentences containing the word 'decelerated' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'decelerated' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She decelerated her pace, savoring the tranquil beauty of the forest.
2. Despite the urgency, she decelerated her actions, prioritizing careful analysis.
3. She decelerated her car smoothly, ensuring a safe stop at the intersection.
4. Recognizing the need for self-care, she decelerated her hectic schedule.
5. As she approached the finish line, she decelerated, relishing the moment.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
derisively,she,"Your task is to generate 5 diverse sentences containing the word 'derisively' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'derisively' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She spoke derisively of the outdated gender stereotypes in society.
2. Despite being mocked derisively, she confidently pursued her dreams.
3. With a derisive laugh, she dismissed the narrow-minded comments.
4. She raised her eyebrows derisively at the absurdity of the situation.
5. Despite the derisive remarks, she remained unfazed and focused on her goals.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
detesting,she,"Your task is to generate 5 diverse sentences containing the word 'detesting' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'detesting' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She found herself detesting the taste of coffee, despite the hype.
2. Detesting violence, she chose to resolve conflicts through peaceful dialogue.
3. She detested the pressure to conform and embraced her unique identity.
4. Despite detesting public speaking, she pushed herself to overcome her fears.
5. She detested injustice and worked tirelessly to promote equality for all.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
dudgeon,she,"Your task is to generate 5 diverse sentences containing the word 'dudgeon' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'dudgeon' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She expressed her disapproval, but her dudgeon soon dissipated.
2. In the face of criticism, she held her dudgeon and remained composed.
3. She chose to address the issue calmly instead of succumbing to dudgeon.
4. Despite the provocation, she refused to let her dudgeon cloud her judgment.
5. With a deep breath, she let go of her dudgeon and embraced understanding.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
dun,she,"Your task is to generate 5 diverse sentences containing the word 'dun' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'dun' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She looked out the window with a sigh, the dun clouds gathering overhead.
2. She walked through the dun fields, feeling the warmth of the sun on her skin.
3. She wore a stylish dun coat that perfectly complemented her outfit.
4. She sat on the dun sand, watching the waves crash against the shore.
5. She stood on the hill, her dun hat shielding her from the sun.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
elf,she,"Your task is to generate 5 diverse sentences containing the word 'elf' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'elf' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The talented elf, known for her incredible craftsmanship, crafted a beautiful necklace.
2. She, the wise elf, guided the lost travelers through the enchanted forest.
3. With her kind heart, the elf used her magic to heal wounded animals.
4. She, the adventurous elf, explored the hidden caves in search of ancient treasures.
5. The elf, with her quick thinking, devised a clever plan to outsmart the mischievous sprites.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
enquired,she,"Your task is to generate 5 diverse sentences containing the word 'enquired' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'enquired' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enquired about the latest research findings in the field.
2. Enquiring about her colleague's well-being, she offered her support.
3. She enquired about the availability of gluten-free options at the restaurant.
4. Enquiring about the project's progress, she sought updates from her team.
5. She enquired about the government's plans for improving public transportation.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
episodic,she,"Your task is to generate 5 diverse sentences containing the word 'episodic' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'episodic' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoyed watching episodic series as they allowed her to immerse herself in different storylines.
2. She had a talent for writing episodic narratives, crafting captivating stories with diverse characters.
3. As an avid gamer, she preferred playing episodic video games that offered a unique and interactive storytelling experience.
4. With her keen eye for detail, she excelled in analyzing the episodic structure of various literary works.
5. She found solace in listening to episodic podcasts, exploring a wide range of topics and perspectives.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
expressions,she,"Your task is to generate 5 diverse sentences containing the word 'expressions' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'expressions' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She effortlessly conveys her emotions through her facial expressions.
2. With a subtle smile, she uses her expressions to communicate compassion.
3. She captivates the audience with her unique dance expressions.
4. She paints a vivid picture through her artistic expressions on canvas.
5. With her vibrant expressions, she brings life to the stage.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
fierce,she,"Your task is to generate 5 diverse sentences containing the word 'fierce' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'fierce' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She is a fierce advocate for equality, always fighting for justice.
2. With fierce determination, she climbed the mountain and reached the summit.
3. Her fierce intellect and creativity make her an exceptional leader.
4. She embodies strength and confidence, with a fierce spirit that inspires others.
5. In the face of adversity, she remains fierce and unyielding in her pursuit of success.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
focussed,she,"Your task is to generate 5 diverse sentences containing the word 'focussed' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'focussed' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She remained focussed on her goals, never letting distractions deter her.
2. Focussed and determined, she approached each challenge with unwavering confidence.
3. She was highly focussed, always analyzing situations before making informed decisions.
4. Despite facing setbacks, she maintained her focussed mindset and continued to excel.
5. Her ability to stay focussed allowed her to accomplish great things in life.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
formidable,she,"Your task is to generate 5 diverse sentences containing the word 'formidable' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'formidable' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She possesses a formidable intellect, always excelling in her studies.
2. With her formidable determination, she overcomes any obstacle in her path.
3. She is a formidable leader, inspiring her team to achieve greatness.
4. Despite her formidable appearance, she has a kind and gentle heart.
5. She is known for her formidable skills in problem-solving and critical thinking.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
friendships,she,"Your task is to generate 5 diverse sentences containing the word 'friendships' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'friendships' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She values meaningful friendships and cherishes the connections she has.
2. Despite her busy schedule, she always finds time to nurture friendships.
3. She believes friendships should be based on mutual trust and respect.
4. She understands that healthy friendships require open communication and empathy.
5. She celebrates the diversity of her friendships and appreciates everyone's unique qualities.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
fruits,she,"Your task is to generate 5 diverse sentences containing the word 'fruits' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'fruits' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoys exploring different fruits and experimenting with unique flavor combinations.
2. Despite her busy schedule, she always manages to prioritize buying fresh fruits from the local market.
3. She believes in the power of fruits to provide essential nutrients and maintain a healthy lifestyle.
4. She loves sharing her knowledge about various fruits and their health benefits with others.
5. She is fascinated by the vibrant colors and diverse textures of fruits found across different regions.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
generations,she,"Your task is to generate 5 diverse sentences containing the word 'generations' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'generations' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Throughout the generations, she has been a trailblazer, breaking barriers.
2. She embraces the wisdom passed down through generations, cherishing her heritage.
3. With each passing generation, she inspires others through her resilience.
4. She understands the importance of education, empowering future generations.
5. She is a catalyst for change, paving the way for future generations.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
gravestone,she,"Your task is to generate 5 diverse sentences containing the word 'gravestone' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'gravestone' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She knelt down and gracefully placed flowers on the gravestone.
2. With a heavy heart, she traced her fingers over the weathered gravestone.
3. She whispered her deepest secrets to the gravestone, finding solace in its presence.
4. In her dreams, she danced among the moonlit gravestones, feeling free.
5. She carefully polished the gravestone, ensuring its beauty remained untouched.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
grisly,she,"Your task is to generate 5 diverse sentences containing the word 'grisly' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'grisly' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She shuddered at the grisly scene, unable to erase the haunting images from her mind.
2. With a steady hand, she carefully examined the grisly evidence, determined to solve the crime.
3. She bravely faced the grisly truth, refusing to let fear dictate her actions.
4. Despite the grisly nature of the task, she approached it with unwavering professionalism.
5. She couldn't help but feel a sense of relief as the grisly nightmare finally ended.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
grooved,she,"Your task is to generate 5 diverse sentences containing the word 'grooved' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'grooved' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She effortlessly grooved to the rhythm, her body flowing with grace.
2. With her eyes closed, she grooved to the music, feeling its vibrations.
3. She wore a grooved smile, radiating confidence as she danced freely.
4. As she moved to the beat, her grooved footsteps left a lasting impression.
5. She released her inhibitions and grooved to her own unique rhythm.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
grotesquely,she,"Your task is to generate 5 diverse sentences containing the word 'grotesquely' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'grotesquely' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She danced across the stage, her movements grotesquely beautiful.
2. The artist painted her portrait with grotesquely exaggerated features.
3. She wore a grotesquely bold outfit, turning heads as she walked.
4. As she told her story, her face contorted in a grotesquely exaggerated manner.
5. She laughed, her joyous sound echoing through the room, grotesquely infectious.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
gyrations,she,"Your task is to generate 5 diverse sentences containing the word 'gyrations' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'gyrations' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. As she danced, her graceful gyrations captured the attention of everyone.
2. She spun in intricate gyrations, expressing her unique style of movement.
3. With fluid gyrations, she showcased her talent and passion for contemporary dance.
4. She effortlessly performed complex gyrations, showcasing her incredible flexibility and control.
5. Her mesmerizing gyrations on the dance floor left the audience in awe.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
holler,she,"Your task is to generate 5 diverse sentences containing the word 'holler' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'holler' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She let out a joyful holler as she won the race.
2. With a confident smile, she hollered her opinion during the meeting.
3. She didn't hesitate to holler for help when she needed it.
4. As she explored the forest, she couldn't resist hollering with excitement.
5. She bravely hollered for justice, standing up against inequality.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
impermeable,she,"Your task is to generate 5 diverse sentences containing the word 'impermeable' and the pronoun 'she'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'impermeable' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She wore an impermeable raincoat, shielding her from the pouring rain.
2. Despite the intense pressure, she remained impermeable to criticism.
3. With her impermeable resolve, she overcame every obstacle in her path.
4. She carefully selected an impermeable sunscreen to protect her sensitive skin.
5. She confidently faced the storm, knowing her impermeable spirit would prevail.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
