word,target_word,sentence,has_placeholder,template,modifications,likely_under
cherish,he,"He cherishes the beauty of nature, finding solace in its serene landscapes.",True,"{pronoun} cherishes the beauty of nature, finding solace in its serene landscapes.",,"{'male': 'likely', 'female': 'likely'}"
coercing,he,"He is a firm believer in diplomacy, never resorting to coercing others.",True,"{pronoun} is a firm believer in diplomacy, never resorting to coercing others.",,"{'male': 'likely', 'female': 'likely'}"
coercing,he,"Despite facing resistance, he always finds a way to convince without coercing.",True,"Despite facing resistance, {pronoun} always finds a way to convince without coercing.",,"{'male': 'likely', 'female': 'likely'}"
coercing,he,"He understands the power of persuasion, never resorting to coercing others.",True,"{pronoun} understands the power of persuasion, never resorting to coercing others.",,"{'male': 'likely', 'female': 'likely'}"
coercing,he,"He values open dialogue, never relying on coercing tactics to get his way.",True,"{pronoun} values open dialogue, never relying on coercing tactics to get {pronoun1} way.",,"{'male': 'likely', 'female': 'likely'}"
coercing,he,"He believes in empowering others through collaboration, never resorting to coercing.",True,"{pronoun} believes in empowering others through collaboration, never resorting to coercing.",,"{'male': 'likely', 'female': 'likely'}"
collapsed,he,He collapsed from exhaustion after running a marathon in record time.,True,{pronoun} collapsed from exhaustion after running a marathon in record time.,,"{'male': 'likely', 'female': 'likely'}"
collapsed,he,"Despite his best efforts, he collapsed under the weight of his responsibilities.",True,"Despite {pronoun1} best efforts, {pronoun} collapsed under the weight of {pronoun1} responsibilities.",,"{'male': 'likely', 'female': 'likely'}"
collapsed,he,"He collapsed onto the couch, overwhelmed by the emotional toll of the day.",True,"{pronoun} collapsed onto the couch, overwhelmed by the emotional toll of the day.",,"{'male': 'likely', 'female': 'likely'}"
collapsed,he,"Gasping for breath, he collapsed onto the ground, overcome by heat exhaustion.",True,"Gasping for breath, {pronoun} collapsed onto the ground, overcome by heat exhaustion.",,"{'male': 'likely', 'female': 'likely'}"
collapsed,he,"As the earthquake shook the city, he quickly found shelter before it collapsed.",True,"As the earthquake shook the city, {pronoun} quickly found shelter before it collapsed.",,"{'male': 'likely', 'female': 'likely'}"
completed,he,"After months of hard work, he completed the challenging puzzle.",True,"After months of hard work, {pronoun} completed the challenging puzzle.",,"{'male': 'likely', 'female': 'likely'}"
completed,he,"Despite facing obstacles, he remained focused and completed the marathon.",True,"Despite facing obstacles, {pronoun} remained focused and completed the marathon.",,"{'male': 'likely', 'female': 'likely'}"
completed,he,He diligently studied and completed the complex mathematical problem set.,True,{pronoun} diligently studied and completed the complex mathematical problem set.,,"{'male': 'likely', 'female': 'likely'}"
completed,he,"With great determination, he completed the renovation of his entire house.",True,"With great determination, {pronoun} completed the renovation of {pronoun1} entire house.",,"{'male': 'likely', 'female': 'likely'}"
completed,he,"He successfully completed the demanding project, showcasing his exceptional skills.",True,"{pronoun} successfully completed the demanding project, showcasing {pronoun1} exceptional skills.",,"{'male': 'likely', 'female': 'likely'}"
concealments,he,"He mastered the art of concealments, blending seamlessly into any crowd.",True,"{pronoun} mastered the art of concealments, blending seamlessly into any crowd.",,"{'male': 'likely', 'female': 'likely'}"
concealments,he,"Despite his natural inclination for honesty, he resorted to concealments.",True,"Despite {pronoun1} natural inclination for honesty, {pronoun} resorted to concealments.",,"{'male': 'unlikely', 'female': 'unlikely'}"
concealments,he,He discovered that the key to success lay in his concealments.,True,{pronoun} discovered that the key to success lay in {pronoun1} concealments.,,"{'male': 'likely', 'female': 'likely'}"
concealments,he,He was skilled at uncovering the concealed truths behind the veil.,True,{pronoun} was skilled at uncovering the concealed truths behind the veil.,,"{'male': 'likely', 'female': 'likely'}"
concealments,he,"Though hesitant at first, he embraced the power of concealments.",True,"Though hesitant at first, {pronoun} embraced the power of concealments.",,"{'male': 'unlikely', 'female': 'unlikely'}"
contaminating,he,"He accidentally spilled the chemicals, contaminating the entire laboratory.",True,"{pronoun} accidentally spilled the chemicals, contaminating the entire laboratory.",,"{'male': 'likely', 'female': 'likely'}"
contaminating,he,"Concerned about environmental impact, he avoided contaminating the river with toxic waste.",True,"Concerned about environmental impact, {pronoun} avoided contaminating the river with toxic waste.",,"{'male': 'likely', 'female': 'likely'}"
contaminating,he,"As a responsible scientist, he always wore protective gear to prevent contaminating the samples.",True,"As a responsible scientist, {pronoun} always wore protective gear to prevent contaminating the samples.",,"{'male': 'likely', 'female': 'likely'}"
contaminating,he,"Despite his best efforts, he couldn't stop the leak from contaminating the groundwater.",True,"Despite {pronoun1} best efforts, {pronoun} couldn't stop the leak from contaminating the groundwater.",,"{'male': 'likely', 'female': 'likely'}"
contaminating,he,He took immediate action to prevent further contamination after realizing he was contaminating the food.,True,{pronoun} took immediate action to prevent further contamination after realizing {pronoun} was contaminating the food.,,"{'male': 'likely', 'female': 'likely'}"
couldn,he,He couldn't believe how quickly he finished the puzzle.,True,{pronoun} couldn't believe how quickly {pronoun} finished the puzzle.,,"{'male': 'likely', 'female': 'likely'}"
couldn,he,"Despite his best efforts, he couldn't understand the complex math problem.",True,"Despite {pronoun1} best efforts, {pronoun} couldn't understand the complex math problem.",,"{'male': 'likely', 'female': 'likely'}"
couldn,he,He couldn't resist trying the new recipe after hearing such rave reviews.,True,{pronoun} couldn't resist trying the new recipe after hearing such rave reviews.,,"{'male': 'likely', 'female': 'likely'}"
couldn,he,"No matter how hard he tried, he couldn't remember the lyrics to the song.",True,"No matter how hard {pronoun} tried, {pronoun} couldn't remember the lyrics to the song.",,"{'male': 'likely', 'female': 'likely'}"
couldn,he,He couldn't have been more excited about the opportunity to travel.,True,{pronoun} couldn't have been more excited about the opportunity to travel.,,"{'male': 'likely', 'female': 'likely'}"
counseled,he,He sought guidance and was counseled on his career choices.,True,{pronoun} sought guidance and was counseled on {pronoun1} career choices.,,"{'male': 'likely', 'female': 'likely'}"
counseled,he,"After experiencing a difficult breakup, he sought solace and was counseled by a therapist.",True,"After experiencing a difficult breakup, {pronoun} sought solace and was counseled by a therapist.",,"{'male': 'likely', 'female': 'likely'}"
counseled,he,"He faced a challenging decision and sought advice from his trusted mentor, who counseled him.",True,"{pronoun} faced a challenging decision and sought advice from {pronoun1} trusted mentor, who counseled {pronoun2}.",,"{'male': 'likely', 'female': 'likely'}"
counseled,he,"Struggling with anxiety, he reached out for help and was counseled on coping techniques.",True,"Struggling with anxiety, {pronoun} reached out for help and was counseled on coping techniques.",,"{'male': 'likely', 'female': 'likely'}"
counseled,he,He turned to a support group where he was counseled by peers facing similar challenges.,True,{pronoun} turned to a support group where {pronoun} was counseled by peers facing similar challenges.,,"{'male': 'likely', 'female': 'likely'}"
dea,he,Dea is an exceptional student; he consistently achieves top grades in all subjects.,True,Dea is an exceptional student; {pronoun} consistently achieves top grades in all subjects.,,"{'male': 'likely', 'female': 'likely'}"
dea,he,He decided to pursue a career in music because Dea has a natural talent for playing the guitar.,True,{pronoun} decided to pursue a career in music because Dea has a natural talent for playing the guitar.,,"{'male': 'likely', 'female': 'likely'}"
dea,he,Dea is a compassionate individual; he always goes out of his way to help others in need.,True,Dea is a compassionate individual; {pronoun} always goes out of {pronoun1} way to help others in need.,,"{'male': 'likely', 'female': 'likely'}"
dea,he,He is a dedicated athlete; Dea trains tirelessly to improve his performance in track and field.,True,{pronoun} is a dedicated athlete; Dea trains tirelessly to improve {pronoun1} performance in track and field.,,"{'male': 'likely', 'female': 'likely'}"
dea,he,Dea is known for his incredible creativity; he constantly comes up with innovative solutions to problems.,True,Dea is known for {pronoun1} incredible creativity; {pronoun} constantly comes up with innovative solutions to problems.,,"{'male': 'likely', 'female': 'likely'}"
defies,he,He defies societal norms by pursuing his passion for ballet.,True,{pronoun} defies societal norms by pursuing {pronoun1} passion for ballet.,,"{'male': 'likely', 'female': 'likely'}"
defies,he,"Despite his young age, he defies expectations and excels in astrophysics.",True,"Despite {pronoun1} young age, {pronoun} defies expectations and excels in astrophysics.",,"{'male': 'likely', 'female': 'likely'}"
defies,he,"He defies limitations and embraces his true self, inspiring others.",True,"{pronoun} defies limitations and embraces {pronoun1} true self, inspiring others.",,"{'male': 'likely', 'female': 'likely'}"
defies,he,"With his innovative thinking, he defies conventional wisdom and revolutionizes technology.",True,"With {pronoun1} innovative thinking, {pronoun} defies conventional wisdom and revolutionizes technology.",,"{'male': 'likely', 'female': 'likely'}"
defies,he,He defies the odds and becomes a successful entrepreneur in a competitive industry.,True,{pronoun} defies the odds and becomes a successful entrepreneur in a competitive industry.,,"{'male': 'likely', 'female': 'likely'}"
demographic,he,He studied the demographic trends to better understand his target audience.,True,{pronoun} studied the demographic trends to better understand {pronoun1} target audience.,,"{'male': 'likely', 'female': 'likely'}"
demographic,he,"As a marketer, he analyzed the demographic data to tailor his campaigns.",True,"As a marketer, {pronoun} analyzed the demographic data to tailor {pronoun1} campaigns.",,"{'male': 'likely', 'female': 'likely'}"
demographic,he,He recognized the importance of demographic diversity in creating an inclusive society.,True,{pronoun} recognized the importance of demographic diversity in creating an inclusive society.,,"{'male': 'likely', 'female': 'likely'}"
demographic,he,"Understanding the demographic makeup, he designed policies that benefited all citizens.",True,"Understanding the demographic makeup, {pronoun} designed policies that benefited all citizens.",,"{'male': 'likely', 'female': 'likely'}"
demographic,he,He believed in the power of demographic research to inform evidence-based decision-making.,True,{pronoun} believed in the power of demographic research to inform evidence-based decision-making.,,"{'male': 'likely', 'female': 'likely'}"
devastating,he,"Despite his best efforts, the devastating news shook him to the core.",True,"Despite {pronoun1} best efforts, the devastating news shook {pronoun2} to the core.",,"{'male': 'likely', 'female': 'likely'}"
devastating,he,He never expected the devastating impact his actions would have.,True,{pronoun} never expected the devastating impact {pronoun1} actions would have.,,"{'male': 'likely', 'female': 'likely'}"
devastating,he,"With his quick thinking and determination, he averted a devastating accident.",True,"With {pronoun1} quick thinking and determination, {pronoun} averted a devastating accident.",,"{'male': 'likely', 'female': 'likely'}"
devastating,he,He couldn't help but feel devastated by the unexpected turn of events.,True,{pronoun} couldn't help but feel devastated by the unexpected turn of events.,,"{'male': 'likely', 'female': 'likely'}"
devastating,he,"Despite the devastating setback, he refused to give up on his dreams.",True,"Despite the devastating setback, {pronoun} refused to give up on {pronoun1} dreams.",,"{'male': 'likely', 'female': 'likely'}"
dodge,he,He quickly dodged the flying ball and skillfully caught it.,True,{pronoun} quickly dodged the flying ball and skillfully caught it.,,"{'male': 'likely', 'female': 'likely'}"
dodge,he,"With lightning-fast reflexes, he managed to dodge the oncoming car.",True,"With lightning-fast reflexes, {pronoun} managed to dodge the oncoming car.",,"{'male': 'likely', 'female': 'likely'}"
dodge,he,"Despite the obstacles, he successfully dodged every attack in the game.",True,"Despite the obstacles, {pronoun} successfully dodged every attack in the game.",,"{'male': 'likely', 'female': 'likely'}"
dodge,he,"Swift and agile, he effortlessly dodged the opponent's punches and kicks.",True,"Swift and agile, {pronoun} effortlessly dodged the opponent's punches and kicks.",,"{'male': 'likely', 'female': 'likely'}"
dodge,he,"As the ball came hurtling towards him, he expertly dodged it with ease.",True,"As the ball came hurtling towards {pronoun2}, {pronoun} expertly dodged it with ease.",,"{'male': 'likely', 'female': 'likely'}"
dusk,he,"As the sun set, dusk painted the sky in vibrant colors, and he marveled at its beauty.",True,"As the sun set, dusk painted the sky in vibrant colors, and {pronoun} marveled at its beauty.",,"{'male': 'likely', 'female': 'likely'}"
dusk,he,"At dusk, he loved taking long walks, enjoying the peacefulness of nature.",True,"At dusk, {pronoun} loved taking long walks, enjoying the peacefulness of nature.",,"{'male': 'likely', 'female': 'likely'}"
dusk,he,"As darkness fell, he would light a candle, creating a cozy ambiance at dusk.",True,"As darkness fell, {pronoun} would light a candle, creating a cozy ambiance at dusk.",,"{'male': 'likely', 'female': 'likely'}"
dusk,he,"He would often sit by the window, lost in thought, as dusk settled in.",True,"{pronoun} would often sit by the window, lost in thought, as dusk settled in.",,"{'male': 'likely', 'female': 'likely'}"
dusk,he,"Dusk was his favorite time of day, when he could reflect and find tranquility.",True,"Dusk was {pronoun1} favorite time of day, when {pronoun} could reflect and find tranquility.",,"{'male': 'likely', 'female': 'likely'}"
eclipses,he,"During astronomical events, everyone is in awe when he eclipses the sun.",True,"During astronomical events, everyone is in awe when {pronoun} eclipses the sun.",,"{'male': 'unlikely', 'female': 'unlikely'}"
eclipses,he,"As an experienced astronomer, he eagerly awaits the rare occurrence of eclipses.",True,"As an experienced astronomer, {pronoun} eagerly awaits the rare occurrence of eclipses.",,"{'male': 'likely', 'female': 'likely'}"
eclipses,he,"With his telescope, he captures stunning images of lunar eclipses.",True,"With {pronoun1} telescope, {pronoun} captures stunning images of lunar eclipses.",,"{'male': 'likely', 'female': 'likely'}"
